method,AP_mean,AP_sample_sd,AP50_mean,AP50_sample_sd,AP75_mean,AP75_sample_sd,APs_mean,APs_sample_sd,APm_mean,APm_sample_sd,APl_mean,APl_sample_sd
DEIM-L,54.42208229753951,0.07839147277546475,72.16666666666667,0.0577350269189675,59.166666666666664,0.15275252316519375,38.233333333333334,0.37859388972001956,59.06666666666666,0.05773502691896339,70.93333333333334,0.378593889720018
Ours,54.53506833488631,0.09300257382162444,72.3,0.1,59.166666666666664,0.05773502691896339,38.1,0.5567764362830031,59.03333333333334,0.20816659994661624,70.93333333333334,0.2309401076758536
Paired delta,0.1129860373467911,0.056441093358190246,0.13333333333333522,0.11547005383792679,0.0,0.17320508075688815,-0.1333333333333305,0.20816659994661224,-0.033333333333333805,0.15275252316519683,0.0,0.3
